eia_id,hifld_name,hifld_state,customers
40212,"COLQUITT ELECTRIC MEMBERSHIP CORP",GA,71559
407,"ALTAMAHA ELECTRIC MEMBER CORP",GA,21411
4432,"COWETA-FAYETTE EL MEMBER CORP",GA,86794
4433,"CITY OF COVINGTON - (GA)",GA,13250
4538,"CRISP COUNTY POWER COMM",GA,12099
4744,"DALTON UTILITIES",GA,17155
5582,"CITY OF EAST POINT - (GA)",GA,17644
562,"AMICALOLA ELECTRIC MEMBER CORP",GA,53657
5905,"EXCELSIOR ELECTRIC MEMBER CORP",GA,24766
6411,"FLINT ELECTRIC MEMBERSHIP CORP",GA,92481
7090,"GREYSTONE POWER CORPORATION",GA,144196
7140,"GEORGIA POWER CO",GA,2712780
7450,"GRADY ELECTRIC MEMBERSHIP CORP",GA,20246
7679,"CITY OF GRIFFIN - (GA)",GA,16175
7887,"HABERSHAM ELECTRIC MEMBERSHIP CORP",GA,36474
8210,"HART ELECTRIC MEMBER CORP",GA,38425
9431,"IRWIN ELECTRIC MEMBERSHIP CORP",GA,12765
9601,"JACKSON ELECTRIC MEMBER CORP - (GA)",GA,249506
9689,"JEFFERSON ELECTRIC MEMBER CORP",GA,36420
1149,"BALDWIN COUNTY EL MEMBER CORP",AL,85803
11714,"MARSHALL-DE KALB ELECTRIC COOP",AL,20770
13669,"NORTH ALABAMA ELECTRIC COOP",AL,19159
14146,"CITY OF OPELIKA - (AL)",AL,14730
14602,"PEA RIVER ELECTRIC COOP",AL,19540
1640,"CITY OF BESSEMER UTILITIES",AL,11347
16629,"SAND MOUNTAIN ELECTRIC COOP",AL,32733
17033,"SHEFFIELD UTILITIES",AL,19328
17534,"SOUTH ALABAMA ELEC COOP, INC",AL,17288
17646,"SOUTHERN PINE ELEC COOP, INC",AL,22291
1780,"BLACK WARRIOR ELEC MEMBER CORP",AL,26759
18203,"TALLAPOOSA RIVER ELEC COOP INC",AL,29412
195,"ALABAMA POWER CO",AL,1526836
